id,computables,concurridas,porcentaje
80218,80,60,75
80211,80,30,37.5
80191,80,35,43.75
80190,80,66,82.5
80225,80,52,65
80217,80,19,23.75
80224,80,13,16.25
80216,80,35,43.75
80248,80,37,46.25
80263,80,26,32.5
80229,80,25,31.25
80235,80,21,26.25
80226,80,35,43.75
80227,80,17,21.25
80228,80,38,47.5
80252,80,37,46.25
80272,80,43,53.75
80273,80,42,52.5
80274,80,20,25
80275,80,32,40
80277,80,22,27.5
80299,80,22,27.5
80161,80,7,8.75
80232,80,20,25
80242,80,13,16.25
80258,80,13,16.25
80260,80,14,17.5
80172,80,21,26.25
80271,80,28,35
80280,80,45,56.25
80285,80,39,48.75
80286,80,33,41.25
80297,80,16,20
80300,80,22,27.5
80301,80,41,51.25
80306,80,33,41.25
80307,80,57,71.25
80308,80,71,88.75
80309,80,43,53.75
80312,80,33,41.25
80316,80,48,60
80317,80,44.55
80318,80,9,11.25
80319,80,66,82.5
80321,80,37,46.25
80322,80,16,20
80326,80,39,48.75
80327,80,43,53.75
80328,80,37,46.25
80329,80,27,33.75
80330,80,65,81.25
80331,80,38,47.5
80332,80,31,38.75
80334,80,38,47.5
80335,80,13,16.25
80336,80,25,31.25
8033,80,32,40
80220,22,17,77.27
80207,22,5,22.73
80182,22,5,22.73
80221,22,16,72.73
80236,22,16,72.73
80219,22,16,72.73
80238,22,9,40.91
80241,22,20,90.91
80269,22,10,45.45
80292,22,10,45.45
80302,22,17,77.27
80310,22,10,45.45
80313,22,20,90.91
80315,22,18,81.82
80320,22,21,95.45
80333,22,0,0

